id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1248131178491719681,1247950299408498693,1586412636000,2020-04-08,23:10:36,PDT,316986307,craig_rasmussen,Left-handed Liberal,,"It's not effective, bot! https://www.newsweek.com/hydroxychloroquine-coronavirus-france-heart-cardiac-1496810 …","['real_defender', 'realdonaldtrump', 'narendramodi']",['https://www.newsweek.com/hydroxychloroquine-coronavirus-france-heart-cardiac-1496810'],[],0,0,0,[],[],https://twitter.com/Craig_Rasmussen/status/1248131178491719681,False,,0,Washington DC,,,,,,"[{'user_id': '316986307', 'username': 'Craig_Rasmussen'}, {'user_id': '49034507', 'username': 'real_defender'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,
1248131177971478529,1246256563800682497,1586412636000,2020-04-08,23:10:36,PDT,46270748,atomicigloo,atomicigloo,,"No you didn’t. It took you three tweets to even understand what I had said. You just saw that I said something about trump, didn’t even understand what it was I was saying and went in the attack. You have so much hate and ugliness in your heart. You need help.","['dbartoni69', 'bluetalonz', 'wontwearadress', 'palominopony', 'chelseaclinton']",[],[],1,0,0,[],[],https://twitter.com/atomicigloo/status/1248131177971478529,False,,0,Washington DC,,,,,,"[{'user_id': '46270748', 'username': 'atomicigloo'}, {'user_id': '2626353269', 'username': 'dbartoni69'}, {'user_id': '172060501', 'username': 'BlueTalonz'}, {'user_id': '752439026', 'username': 'wontwearadress'}, {'user_id': '138914345', 'username': 'PalominoPony'}, {'user_id': '757303975', 'username': 'ChelseaClinton'}]",,,,
1248130910404386819,1247950299408498693,1586412572000,2020-04-08,23:09:32,PDT,316986307,craig_rasmussen,Left-handed Liberal,,"Looks like your wonder drug doesn't work, Dummy!
 https://www.newsweek.com/hydroxychloroquine-coronavirus-france-heart-cardiac-1496810 …","['realdonaldtrump', 'narendramodi']",['https://www.newsweek.com/hydroxychloroquine-coronavirus-france-heart-cardiac-1496810'],[],0,0,0,[],[],https://twitter.com/Craig_Rasmussen/status/1248130910404386819,False,,0,Washington DC,,,,,,"[{'user_id': '316986307', 'username': 'Craig_Rasmussen'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,
1248130796789129216,1248130796789129216,1586412545000,2020-04-08,23:09:05,PDT,594016621,rosspalombowplg,Ross Palombo,,Biden vs. Trump: General election battle is now set  https://www.local10.com/news/politics/2020/04/09/biden-vs-trump-general-election-battle-is-now-set/?utm_source=Twitter&utm_medium=social&utm_campaign=snd&utm_content=RossPalombo …,[],['https://www.local10.com/news/politics/2020/04/09/biden-vs-trump-general-election-battle-is-now-set/?utm_source=Twitter&utm_medium=social&utm_campaign=snd&utm_content=RossPalombo'],[],0,0,0,[],[],https://twitter.com/RossPalomboWPLG/status/1248130796789129216,False,,0,Washington DC,,,,,,"[{'user_id': '594016621', 'username': 'RossPalomboWPLG'}]",,,,
1248130724340928513,1248130724340928513,1586412528000,2020-04-08,23:08:48,PDT,16235283,johndesmarteau,John DesMarteau MD,,"""Bad"" hardly begins to describe the mistake some people on the left made in 2016 by either voting 3rd Party, not voting or even voting for Trump.  https://twitter.com/DanRiffle/status/1247963478591184898 …",[],['https://twitter.com/DanRiffle/status/1247963478591184898'],[],0,0,0,[],[],https://twitter.com/JohnDesMarteau/status/1248130724340928513,False,https://twitter.com/DanRiffle/status/1247963478591184898,0,Washington DC,,,,,,"[{'user_id': '16235283', 'username': 'JohnDesMarteau'}]",,,,
1248130588957126656,1247944917743276033,1586412496000,2020-04-08,23:08:16,PDT,284691765,tnick333,Tyler 🌐🏛♻️,,"Understood, although you’ll still vote for Joe? If not we get a scenario where progressive defectors vote for a third party (Jill Stein, 2016), not vote at all, or in some cases many populist Bernie supporters vote for Trump in anguish. It’s important to see this. @s_doncaster14","['lindsey_kelley_', 's_doncaster14']",[],[],0,0,0,[],[],https://twitter.com/Tnick333/status/1248130588957126656,False,,0,Washington DC,,,,,,"[{'user_id': '284691765', 'username': 'Tnick333'}, {'user_id': '255124329', 'username': 'Lindsey_Kelley_'}, {'user_id': '68799796', 'username': 's_doncaster14'}]",,,,
1248130585547005953,1247907610155720705,1586412495000,2020-04-08,23:08:15,PDT,361003801,aklers,❌Deplorable Ann❌,,"POTUS45 IS DOING WHAT WE THE PEOPLE VOTED HIM TO DO
VOTE RED AND KAG2020 AND GET OUR LIVES BACK","['kimguilfoyle', 'assyriangirll', 'realdonaldtrump']",[],[],0,0,0,[],[],https://twitter.com/Aklers/status/1248130585547005953,False,,0,Washington DC,,,,,,"[{'user_id': '361003801', 'username': 'Aklers'}, {'user_id': '25101996', 'username': 'kimguilfoyle'}, {'user_id': '53818115', 'username': 'Assyriangirll'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1248130507252121601,1247923936559419393,1586412476000,2020-04-08,23:07:56,PDT,17746424,vagueobject,Jaime Ravenet,,"Do you need more than ""vote against Trump in a way that doesn't give Trump a victory""? If so, maybe consider who your preferred candidates are going to be voting for.",['jichikawa'],[],[],0,0,0,[],[],https://twitter.com/VagueObject/status/1248130507252121601,False,,0,Washington DC,,,,,,"[{'user_id': '17746424', 'username': 'VagueObject'}, {'user_id': '15471002', 'username': 'jichikawa'}]",,,,
1248130295477436424,1248130295477436424,1586412426000,2020-04-08,23:07:06,PDT,2908566694,mgoodman20902,Margaret Goodman,,"An investigation into how poorly this pandemic was handled from the November warnings set to the IMPEACHED PRESIDENT Donald John Trump, without proper preparation, extensive TESTING, equipment and supplies stockpiled and DISTRIBUTION FULLFILLED thought the US! INVESTIGATE.  https://twitter.com/realdonaldtrump/status/1247900240155295745 …",[],['https://twitter.com/realdonaldtrump/status/1247900240155295745'],[],0,0,0,[],[],https://twitter.com/mgoodman20902/status/1248130295477436424,False,https://twitter.com/realDonaldTrump/status/1247900240155295745,0,Washington DC,,,,,,"[{'user_id': '2908566694', 'username': 'mgoodman20902'}]",,,,
1248130210668707841,1248130210668707841,1586412406000,2020-04-08,23:06:46,PDT,347568180,voastevenson,Jim Stevenson,,WHO rejects 'China-centric' charge after Trump criticism   https://reut.rs/2JM0hEa  @reuters,['reuters'],['https://reut.rs/2JM0hEa'],[],0,0,0,[],[],https://twitter.com/VOAStevenson/status/1248130210668707841,False,,0,Washington DC,,,,,,"[{'user_id': '347568180', 'username': 'VOAStevenson'}, {'user_id': '1652541', 'username': 'Reuters'}]",,,,
